"Subject"	"tBodyAcc-mean()-X"	"tBodyAcc-mean()-Y"	"tBodyAcc-mean()-Z"
1	0.265696920582133	-0.0182981725176081	-0.10784573454611
2	0.273113115788079	-0.0191323183174834	-0.115649958175497
3	0.273428719636364	-0.017856067384956	-0.106492632429097
4	0.274183111498423	-0.0148081545344921	-0.107521430810726
5	0.279177960301325	-0.0154833455336192	-0.105661736816887
6	0.272376614181538	-0.0175697042641846	-0.11599454136
7	0.270211697814935	-0.0187904887668182	-0.112492375388312
8	0.270759063295374	-0.0181894974688612	-0.106809623683986
9	0.270313841621528	-0.0209466555412396	-0.101233826213889
10	0.27684847392517	-0.017835790552415	-0.111301532185714
11	0.27658531139557	-0.0191272531933228	-0.108941761642405
12	0.27360872421875	-0.018337204411489	-0.106649116775
13	0.275895876198777	-0.0176504796070948	-0.109135285550765
14	0.270184596009288	-0.0162548178510526	-0.100985935692074
15	0.27821340725	-0.016464484771311	-0.112563587594512
16	0.277887440374317	-0.0158567888309016	-0.107263924445355
17	0.274029548065217	-0.0175416045074728	-0.109199853130082
18	0.276324152142857	-0.0172831546595266	-0.108112251068681
19	0.269723487105556	-0.0182031515710306	-0.118277180099383
20	0.268425757926554	-0.0175912993773164	-0.108029145824294
21	0.277466525522059	-0.0176664578561765	-0.10877848058848
22	0.274767690046106	-0.0168273604077383	-0.108670376782866
23	0.273493254730108	-0.019589258786828	-0.109093982385242
24	0.276767046391076	-0.0176822460103885	-0.107914503687664
25	0.275301467772127	-0.0193221769314914	-0.10962903098044
26	0.2730365808625	-0.0161687277463495	-0.107637894928571
27	0.277264567074468	-0.0167969215592152	-0.110848300413564
28	0.277532554764398	-0.0191721442063089	-0.109710873104188
29	0.279111521944767	-0.018471953048314	-0.108675612269477
30	0.276305836721932	-0.0175856077340209	-0.10589355727859

"Activity"	"tBodyAcc-mean()-X"	"tBodyAcc-mean()-Y"	"tBodyAcc-mean()-Z"
"LAYING"	0.268648643296245	-0.0183177280685082	-0.107435631519084
"SITTING"	0.273059614418965	-0.0126895730832639	-0.105517003220878
"STANDING"	0.279153494050367	-0.016151886473745	-0.106586908690788
"WALKING"	0.276336875325203	-0.0179068331339779	-0.108881687638618
"WALKING_DOWNSTAIRS"	0.288137227760313	-0.0163119254923574	-0.105761624860013
"WALKING_UPSTAIRS"	0.26229464948342	-0.0259232890342181	-0.120537934670272


"Subject"	"tBodyAcc-std()-X"	"tBodyAcc-std()-Y"	"tBodyAcc-std()-Z"
1	-0.545795331328326	-0.367716218227378	-0.502645746562824
2	-0.605586497159271	-0.428962986589404	-0.589360062210596
3	-0.623413602046921	-0.480015920697654	-0.653625579293255
4	-0.605211727785489	-0.509929384011325	-0.709492735962145
5	-0.507691011391722	-0.402724906078146	-0.646443640175497
6	-0.505086085072062	-0.368403670137262	-0.672512004586708
7	-0.577518324748052	-0.546403365345779	-0.456473642256981
8	-0.582958863017438	-0.349383732046263	-0.499472687913167
9	-0.555656544538194	-0.5758878952125	-0.506111776081806
10	-0.537807711163265	-0.497405885644898	-0.614776952226361
11	-0.58947649779557	-0.490379346996835	-0.665324314227848
12	-0.583962207065	-0.522040023435	-0.699293531365625
13	-0.624844460199083	-0.448816097853364	-0.587230562129052
14	-0.611671118216099	-0.374730765205077	-0.29354271467452
15	-0.556541173089329	-0.481679537956006	-0.705706623868902
16	-0.668161498298634	-0.649947067892896	-0.603819902386066
17	-0.608455243870734	-0.567005319464348	-0.660582755619022
18	-0.694616884972527	-0.627117507326923	-0.701596039615385
19	-0.574658922919194	-0.507035084992639	-0.649184726556944
20	-0.60484669490339	-0.369336706508757	-0.634787346548023
21	-0.672323867377451	-0.565585190336299	-0.669621813176471
22	-0.546089975548692	-0.491188426241526	-0.65508967878972
23	-0.622594039757258	-0.532078546615699	-0.450557203409946
24	-0.675459176298425	-0.582490655185302	-0.636497458900262
25	-0.716264537547677	-0.531421035602689	-0.64709556105868
26	-0.623101031168367	-0.585967142418112	-0.70498062744898
27	-0.660976085218085	-0.630460488658511	-0.68321532587766
28	-0.649040391307853	-0.573651895933508	-0.685821415026178
29	-0.574295395364826	-0.598400275636657	-0.606461283926453
30	-0.615890785389034	-0.519047387875457	-0.522643273772115

"Activity"	"tBodyAcc-std()-X"	"tBodyAcc-std()-Y"	"tBodyAcc-std()-Z"
"LAYING"	-0.960932405036523	-0.943507185574074	-0.948069300024897
"SITTING"	-0.983446221750141	-0.934880562895515	-0.938981580616207
"STANDING"	-0.98443471156873	-0.932508714024134	-0.939913504673138
"WALKING"	-0.314644454310285	-0.0235829464260859	-0.2739207990668
"WALKING_DOWNSTAIRS"	0.100766330932127	0.0595486228783642	-0.190804507442162
"WALKING_UPSTAIRS"	-0.237989747950635	-0.0160325123253303	-0.175449700484728
